P0021_FG_I1183,Dipsadidae,Hypsiglena,slevini
P0021_FG_I1302,Dipsadidae,Sibon,nebulatus
P0021_FG_I1363,Dipsadidae,Leptodeira,polysticta
P0021_FG_I7540,Dipsadidae,Hypsiglena,torquata
P0021_FG_I8101,Elapidae,Micrurus,fulvius
P0021_FG_I9380,Tropidophiidae,Tropidophis,haetianus
P0021_FG_I1179,Dipsadidae,Imantodes,gemmistratus
P0021_FG_I1270,Dipsadidae,Sibon,sartori
P0021_FG_I1320,Acrochordidae,Acrochordus,javanicus
P0021_FG_I1362,Dipsadidae,Imantodes,lentiferus
P0021_FG_I1364,Dipsadidae,Leptodeira,splendida
P0021_FG_I1367,Dipsadidae,Leptodeira,maculata
P0021_FG_I7434,Tropidophiidae,Tropidophis,nigriventris
P0021_FG_I7441,Tropidophiidae,Tropidophis,semicinctus
P0021_FG_I7512,Dipsadidae,Imantodes,inornatus
P0021_FG_I7523,Dipsadidae,Leptodeira,rubricata
P0021_FG_I7529,Dipsadidae,Sibon,dimidiatus
P0021_FG_I9381,Tropidophiidae,Tropidophis,greenwayi